"121310";"TITULOS DE CONTENIDO CREDITICIO DERIVADOS DE PROCESOS DE TITULARIZACION DE SUBYACENTES DISTINTOS DE";" "
"121311";"TITULOS EMITIDOS, AVALADOS, ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDE";" "
"121314";"TITULOS EMITIDOS POR ENTIDADES NO VIGILADAS POR LA SUPERINTENDENCIA BANCARIA (INCLUIDOS LOS BONOS OB";" "
"121315";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR GOBIERNOS EXTRANJEROS";" "
"121316";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR BANCOS CENTRALES EXTRANJEROS";" "
"121317";"TITULOS EMITIDOS, AVALADOS, GARANTIZADOS O ACEPTADOS POR BANCOS DEL EXTERIOR";" "
"121318";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR ORGANISMOS MULTILATERALES DE CR";" "
"121342";"TITULOS EMITIDOS POR RESIDENTES EN EL EXTERIOR";" "
"121395";"OTROS TITULOS";" "
"1216";"INVERSIONES DISPONIBLES PARA LA VENTA EN TITULOS PARTICIPATIVOS";" "
"121601";"ACCIONES CON ALTA LIQUIDEZ BURSATIL";" "
"121602";"ACCIONES CON MEDIA LIQUIDEZ BURSATIL";" "
"121604";"ACCIONES CON BAJA Y M";" "
"121608";"TITULOS PARTICIPATIVOS DERIVADOS DE PROCESOS DE TITULARIZACION";" "
"121609";"TITULOS MIXTOS DERIVADOS DE PROCESOS DE TITULARIZACION";" "
"121695";"OTROS TITULOS";" "
"1231";"DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIABLES EN TITULOS DE DEUDA";" "
"123101";"TITULOS DE DEUDA PUBLICA INTERNA EMITIDOS O GARANTIZADOS POR LA NACION";" "
"123102";"TITULOS DE DEUDA PUBLICA EXTERNA EMITIDOS O GARANTIZADOS POR LA NACION";" "
"123103";"OTROS TITULOS DE DEUDA PUBLICA";" "
"123104";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR EL FOGAFIN";" "
"123105";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR EL FOGACOOP";" "
"123106";"TITULOS EMITIDOS POR EL BANCO DE LA REPUBLICA";" "
"123107";"BONOS HIPOTECARIOS";" "
"123108";"TITULOS HIPOTECARIOS";" "
"123109";"TITULOS DE CONTENIDO CREDITICIO DERIVADOS DE PROCESOS DE TITULARIZACION DE CARTERA HIPOTECARIA";" "
"123110";"TITULOS DE CONTENIDO CREDITICIO DERIVADOS DE PROCESOS DE TITULARIZACION DE SUBYACENTES DISTINTOS DE";" "
"123111";"TITULOS EMITIDOS, AVALADOS, ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDE";" "
"123114";"TITULOS EMITIDOS POR ENTIDADES NO VIGILADAS POR LA SUPERINTENDENCIA BANCARIA";" "
"123115";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR GOBIERNOS EXTRANJEROS";" "
"123116";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR BANCOS CENTRALES EXTRANJEROS";" "
"123117";"TITULOS EMITIDOS, AVALADOS, GARANTIZADOS O ACEPTADOS POR BANCOS DEL EXTERIOR";" "
"123118";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR ORGANISMOS MULTILATERALES DE CR";" "
"123142";"TITULOS EMITIDOS POR RESIDENTES EN EL EXTERIOR";" "
"123195";"OTROS TITULOS";" "
"1232";"DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIABLES EN TITULOS PARTICIPATIVOS";" "
"123201";"ACCIONES CON ALTA LIQUIDEZ BURSATIL";" "
"123202";"ACCIONES CON MEDIA LIQUIDEZ BURSATIL";" "
"123208";"TITULOS PARTICIPATIVOS DERIVADOS DE PROCESOS DE TITULARIZACION";" "
"123209";"TITULOS MIXTOS DERIVADOS DE PROCESOS DE TITULARIZACION";" "
"1235";"DERECHOS DE RECOMPRA DE INVERSIONES DISPONIBLES PARA LA VENTA EN TITULOS DE DEUDA";" "
"123501";"TITULOS DE DEUDA P";" "
"123502";"TITULOS DE DEUDA P";" "
"123503";"OTROS TITULOS DE DEUDA P";" "
"123504";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR EL FOGAFIN";" "
